,abb,median_days_open,month_id,state
322,KY,18,2008_7,Kentucky
323,LA,13,2008_7,Louisiana
326,ME,33,2008_7,Maine
325,MD,0,2008_7,Maryland
324,MA,9,2008_7,Massachusetts
327,MI,5,2008_7,Michigan
328,MN,12,2008_7,Minnesota
330,MS,5,2008_7,Mississippi
329,MO,27,2008_7,Missouri
331,MT,0,2008_7,Montana
334,NE,11,2008_7,Nebraska
338,NV,0,2008_7,Nevada
335,NH,29,2008_7,New Hampshire
336,NJ,20,2008_7,New Jersey
337,NM,36,2008_7,New Mexico
339,NY,22,2008_7,New York
332,NC,8,2008_7,North Carolina
333,ND,0,2008_7,North Dakota
340,OH,8,2008_7,Ohio
341,OK,8,2008_7,Oklahoma
342,OR,28,2008_7,Oregon
343,PA,20,2008_7,Pennsylvania
344,RI,24,2008_7,Rhode Island
345,SC,17,2008_7,South Carolina
346,SD,23,2008_7,South Dakota
347,TN,2,2008_7,Tennessee
348,TX,12,2008_7,Texas
349,UT,11,2008_7,Utah
350,VA,0,2008_7,Virginia
351,WA,18,2008_7,Washington
353,WV,12,2008_7,West Virginia
352,WI,2,2008_7,Wisconsin
354,WY,2,2008_7,Wyoming
0,VT,0,2008_7,Vermont
356,AL,14,2008_8,Alabama
355,AK,69,2008_8,Alaska
358,AZ,13,2008_8,Arizona
357,AR,6,2008_8,Arkansas
359,CA,0,2008_8,California
360,CO,18,2008_8,Colorado
361,CT,4,2008_8,Connecticut
363,DE,27,2008_8,Delaware
362,DC,0,2008_8,District of Columbia
364,FL,12,2008_8,Florida
365,GA,11,2008_8,Georgia
366,HI,29,2008_8,Hawaii
368,ID,24,2008_8,Idaho
369,IL,6,2008_8,Illinois
370,IN,34,2008_8,Indiana
367,IA,6,2008_8,Iowa
371,KS,10,2008_8,Kansas
372,KY,12,2008_8,Kentucky
373,LA,26,2008_8,Louisiana
376,ME,42,2008_8,Maine
375,MD,0,2008_8,Maryland
374,MA,14,2008_8,Massachusetts
377,MI,15,2008_8,Michigan
378,MN,16,2008_8,Minnesota
380,MS,31,2008_8,Mississippi
379,MO,10,2008_8,Missouri
381,MT,7,2008_8,Montana
384,NE,0,2008_8,Nebraska
388,NV,28,2008_8,Nevada
385,NH,27,2008_8,New Hampshire
386,NJ,20,2008_8,New Jersey
387,NM,27,2008_8,New Mexico
389,NY,18,2008_8,New York
382,NC,12,2008_8,North Carolina
383,ND,10,2008_8,North Dakota
390,OH,6,2008_8,Ohio
391,OK,2,2008_8,Oklahoma
392,OR,17,2008_8,Oregon
393,PA,23,2008_8,Pennsylvania
394,RI,11,2008_8,Rhode Island
395,SC,6,2008_8,South Carolina
396,SD,20,2008_8,South Dakota
397,TN,0,2008_8,Tennessee
398,TX,12,2008_8,Texas
399,UT,0,2008_8,Utah
401,VT,17,2008_8,Vermont
400,VA,3,2008_8,Virginia
402,WA,18,2008_8,Washington
404,WV,12,2008_8,West Virginia
403,WI,0,2008_8,Wisconsin
405,WY,29,2008_8,Wyoming
407,AL,17,2008_9,Alabama
406,AK,42,2008_9,Alaska
409,AZ,10,2008_9,Arizona
408,AR,13,2008_9,Arkansas
410,CA,0,2008_9,California
411,CO,10,2008_9,Colorado
412,CT,2,2008_9,Connecticut
414,DE,14,2008_9,Delaware
413,DC,14,2008_9,District of Columbia
415,FL,6,2008_9,Florida
416,GA,12,2008_9,Georgia
417,HI,17,2008_9,Hawaii
419,ID,28,2008_9,Idaho
420,IL,8,2008_9,Illinois
421,IN,10,2008_9,Indiana
418,IA,5,2008_9,Iowa
422,KS,6,2008_9,Kansas
423,KY,12,2008_9,Kentucky
424,LA,21,2008_9,Louisiana
427,ME,30,2008_9,Maine
426,MD,3,2008_9,Maryland
425,MA,20,2008_9,Massachusetts
428,MI,0,2008_9,Michigan
429,MN,4,2008_9,Minnesota
431,MS,12,2008_9,Mississippi
430,MO,13,2008_9,Missouri
432,MT,0,2008_9,Montana
435,NE,0,2008_9,Nebraska
439,NV,24,2008_9,Nevada
436,NH,7,2008_9,New Hampshire
437,NJ,14,2008_9,New Jersey
438,NM,0,2008_9,New Mexico
440,NY,6,2008_9,New York
433,NC,12,2008_9,North Carolina
434,ND,8,2008_9,North Dakota
441,OH,4,2008_9,Ohio
442,OK,6,2008_9,Oklahoma
443,OR,4,2008_9,Oregon
444,PA,13,2008_9,Pennsylvania
445,RI,16,2008_9,Rhode Island
446,SC,17,2008_9,South Carolina
447,SD,15,2008_9,South Dakota
448,TN,3,2008_9,Tennessee
449,TX,8,2008_9,Texas
450,UT,1,2008_9,Utah
